t [min]	h [mm]	Q [m3/s]
10440	392	8.9
10455	390	8.9
10470	392	8.9
10485	393	8.9
10500	393	8.9
10515	393	8.9
10530	390	8.9
10545	391	8.9
10560	392	8.9
10575	393	8.9
10590	393	8.9
10605	391	8.9
10620	394	8.9
10635	393	8.9
10650	386	8.8
10665	389	8.9
10680	390	8.9
10695	390	8.9
10710	388	8.9
10725	384	8.8
10740	388	8.9
10755	390	8.9
10770	389	8.9
10785	391	8.9
10800	387	8.8
10815	392	8.9
10830	382	8.8
10845	391	8.9
10860	389	8.9
10875	389	8.9
10890	391	8.9
10905	385	8.8
10920	385	8.8
10935	384	8.8
10950	383	8.8
10965	382	8.8
10980	386	8.8
10995	386	8.8
11010	385	8.8
11025	387	8.8
11040	390	8.9
11055	377	8.7
11070	386	8.8
11085	386	8.8
11100	378	8.7
11115	381	8.8
11130	383	8.8
11145	383	8.8
11160	386	8.8
11175	382	8.8
11190	382	8.8
11205	391	8.9
11220	387	8.8
11235	388	8.9
11250	389	8.9
11265	388	8.9
11280	388	8.9
11295	390	8.9
11310	386	8.8
11325	386	8.8
11340	389	8.9
11355	390	8.9
11370	391	8.9
11385	386	8.8
11400	388	8.9
11415	390	8.9
11430	382	8.8
11445	384	8.8
11460	381	8.8
11475	385	8.8
11490	380	8.7
11505	380	8.7
11520	384	8.8
11535	380	8.7
11550	381	8.8
11565	384	8.8
11580	381	8.8
11595	384	8.8
11610	387	8.8
11625	390	8.9
11640	381	8.8
11655	385	8.8
11670	384	8.8
11685	391	8.9
11700	389	8.9
11715	390	8.9
11730	391	8.9
11745	394	8.9
11760	396	9.0
11775	396	9.0
11790	397	9.0
11805	402	9.1
11820	397	9.0
11835	395	9.0
11850	404	9.1
11865	401	9.1
11880	400	9.0
11895	403	9.1
11910	402	9.1
11925	404	9.1
11940	403	9.1
11955	405	9.1
11970	404	9.1
11985	407	9.2
12000	408	9.2
12015	403	9.1
12030	405	9.1
12045	400	9.0
12060	406	9.1
12075	404	9.1
12090	398	9.0
12105	400	9.0
12120	405	9.1
12135	406	9.1
12150	408	9.2
12165	403	9.1
12180	407	9.2
12195	402	9.1
12210	405	9.1
12225	403	9.1
12240	402	9.1
12255	402	9.1
12270	404	9.1
12285	405	9.1
12300	400	9.0
12315	401	9.1
12330	403	9.1
12345	404	9.1
12360	392	8.9
12375	401	9.1
12390	397	9.0
12405	400	9.0
12420	395	9.0
12435	387	8.8
12450	398	9.0
12465	395	9.0
12480	397	9.0
12495	394	8.9
12510	379	8.7
12525	392	8.9
12540	394	8.9
12555	393	8.9
12570	396	9.0
12585	394	8.9
12600	393	8.9
12615	391	8.9
12630	387	8.8
12645	389	8.9
12660	389	8.9
12675	392	8.9
12690	391	8.9
12705	392	8.9
12720	392	8.9
12735	390	8.9
12750	391	8.9
12765	388	8.9
12780	387	8.8
12795	387	8.8
12810	390	8.9
12825	390	8.9
12840	385	8.8
12855	389	8.9
12870	393	8.9
12885	386	8.8
12900	384	8.8
12915	385	8.8
12930	379	8.7
12945	391	8.9
12960	382	8.8
12975	381	8.8
12990	387	8.8
13005	385	8.8
13020	388	8.9
13035	389	8.9
13050	387	8.8
13065	382	8.8
13080	382	8.8
13095	382	8.8
13110	385	8.8
13125	384	8.8
13140	385	8.8
13155	382	8.8
13170	380	8.7
13185	383	8.8
13200	386	8.8
13215	387	8.8
13230	387	8.8
13245	385	8.8
13260	382	8.8
13275	377	8.7
13290	385	8.8
13305	382	8.8
13320	378	8.7
13335	382	8.8
13350	385	8.8
13365	385	8.8
13380	379	8.7
13395	385	8.8
13410	382	8.8
13425	387	8.8
13440	387	8.8
13455	388	8.9
13470	383	8.8
13485	389	8.9
13500	390	8.9
13515	395	9.0
13530	395	9.0
13545	397	9.0
13560	399	9.0
13575	404	9.1
13590	405	9.1
13605	408	9.2
13620	403	9.1
13635	410	9.2
13650	403	9.1
13665	412	9.2
13680	417	9.3
13695	408	9.2
13710	412	9.2
13725	413	9.3
13740	416	9.3
13755	414	9.3
13770	411	9.2
13785	417	9.3
13800	416	9.3
13815	422	9.4
13830	424	9.5
13845	422	9.4
13860	424	9.5
13875	425	9.5
13890	426	9.5
13905	421	9.4
13920	421	9.4
13935	422	9.4
13950	423	9.4
13965	419	9.4
13980	418	9.4
13995	416	9.3
14010	420	9.4
14025	419	9.4
14040	412	9.2
14055	417	9.3
14070	413	9.3
14085	419	9.4
14100	416	9.3
14115	412	9.2
14130	416	9.3
14145	413	9.3
14160	414	9.3
14175	415	9.3
14190	411	9.2
14205	415	9.3
14220	410	9.2
14235	408	9.2
14250	415	9.3
14265	411	9.2
14280	408	9.2
14295	407	9.2
14310	410	9.2
14325	407	9.2
14340	407	9.2
14355	409	9.2
14370	409	9.2
14385	404	9.1
14400	410	9.2
14415	408	9.2
14430	406	9.1
14445	409	9.2
14460	411	9.2
14475	411	9.2
14490	411	9.2
14505	414	9.3
14520	413	9.3
14535	413	9.3
14550	415	9.3
14565	422	9.4
14580	420	9.4
14595	422	9.4
14610	425	9.5
14625	419	9.4
14640	428	9.5
14655	422	9.4
14670	424	9.5
14685	425	9.5
14700	429	9.6
14715	428	9.5
14730	429	9.6
14745	429	9.6
14760	421	9.4
14775	429	9.6
14790	425	9.5
14805	429	9.6
14820	426	9.5
14835	429	9.6
14850	428	9.5
14865	427	9.5
14880	428	9.5
14895	429	9.6
14910	431	9.6
14925	429	9.6
14940	423	9.4
14955	425	9.5
14970	424	9.5
14985	424	9.5
15000	429	9.6
15015	423	9.4
15030	424	9.5
15045	416	9.3
15060	416	9.3
15075	421	9.4
15090	421	9.4
15105	419	9.4
15120	419	9.4
15135	420	9.4
15150	410	9.2
15165	419	9.4
15180	416	9.3
15195	415	9.3
15210	418	9.4
15225	417	9.3
15240	416	9.3
15255	416	9.3
15270	413	9.3
15285	411	9.2
15300	411	9.2
15315	410	9.2
15330	413	9.3
15345	402	9.1
15360	413	9.3
15375	406	9.1
15390	410	9.2
15405	408	9.2
15420	406	9.1
15435	406	9.1
15450	407	9.2
15465	410	9.2
15480	402	9.1
15495	401	9.1
15510	404	9.1
15525	409	9.2
15540	407	9.2
15555	406	9.1
15570	409	9.2
15585	403	9.1
15600	407	9.2
15615	404	9.1
15630	406	9.1
15645	398	9.0
15660	406	9.1
15675	404	9.1
15690	398	9.0
15705	406	9.1
15720	400	9.0
15735	402	9.1
15750	394	8.9
15765	399	9.0
15780	401	9.1
15795	398	9.0
15810	396	9.0
15825	393	8.9
15840	401	9.1
15855	401	9.1
15870	395	9.0
15885	404	9.1
15900	400	9.0
15915	399	9.0
15930	399	9.0
15945	401	9.1
15960	400	9.0
15975	405	9.1
15990	400	9.0
16005	407	9.2
16020	403	9.1
16035	410	9.2
16050	408	9.2
16065	409	9.2
16080	412	9.2
16095	415	9.3
16110	413	9.3
16125	412	9.2
16140	415	9.3
16155	411	9.2
16170	418	9.4
16185	419	9.4
16200	418	9.4
16215	421	9.4
16230	415	9.3
16245	421	9.4
16260	408	9.2
16275	418	9.4
16290	417	9.3
16305	420	9.4
16320	421	9.4
16335	423	9.4
16350	416	9.3
16365	420	9.4
16380	413	9.3
16395	415	9.3
16410	413	9.3
16425	417	9.3
16440	417	9.3
16455	417	9.3
16470	412	9.2
16485	414	9.3
16500	410	9.2
16515	411	9.2
16530	414	9.3
16545	413	9.3
16560	414	9.3
16575	415	9.3
16590	411	9.2
16605	411	9.2
16620	409	9.2
16635	404	9.1
16650	412	9.2
16665	412	9.2
16680	408	9.2
16695	404	9.1
16710	407	9.2
16725	409	9.2
16740	404	9.1
16755	405	9.1
16770	406	9.1
16785	407	9.2
16800	407	9.2
16815	408	9.2
16830	409	9.2
16845	404	9.1
16860	404	9.1
16875	400	9.0
16890	401	9.1
16905	406	9.1
16920	402	9.1
16935	396	9.0
16950	400	9.0
16965	404	9.1
16980	401	9.1
16995	402	9.1
17010	402	9.1
17025	406	9.1
17040	400	9.0
17055	401	9.1
17070	403	9.1
17085	406	9.1
17100	399	9.0
17115	399	9.0
17130	403	9.1
17145	399	9.0
17160	398	9.0
17175	397	9.0
17190	396	9.0
17205	398	9.0
17220	395	9.0
17235	400	9.0
17250	392	8.9
17265	396	9.0
17280	397	9.0
17295	395	9.0
17310	391	8.9
17325	391	8.9
17340	384	8.8
17355	390	8.9
17370	396	9.0
17385	392	8.9
17400	395	9.0
17415	396	9.0
17430	397	9.0
17445	398	9.0
17460	400	9.0
17475	397	9.0
17490	398	9.0
17505	394	8.9
17520	397	9.0
17535	401	9.1
17550	401	9.1
17565	404	9.1
17580	402	9.1
17595	402	9.1
17610	406	9.1
17625	408	9.2
17640	404	9.1
17655	405	9.1
17670	410	9.2
17685	405	9.1
17700	410	9.2
17715	399	9.0
17730	408	9.2
17745	410	9.2
17760	413	9.3
17775	411	9.2
17790	413	9.3
17805	407	9.2
17820	408	9.2
17835	406	9.1
17850	409	9.2
17865	411	9.2
17880	408	9.2
17895	411	9.2
17910	407	9.2
17925	403	9.1
17940	412	9.2
17955	405	9.1
17970	409	9.2
17985	409	9.2
18000	404	9.1
18015	405	9.1
18030	406	9.1
18045	409	9.2
18060	405	9.1
18075	405	9.1
18090	407	9.2
18105	404	9.1
18120	405	9.1
18135	404	9.1
18150	404	9.1
18165	402	9.1
18180	403	9.1
18195	401	9.1
18210	401	9.1
18225	397	9.0
18240	395	9.0
18255	397	9.0
18270	397	9.0
18285	401	9.1
18300	389	8.9
18315	399	9.0
18330	398	9.0
18345	397	9.0
18360	400	9.0
18375	399	9.0
18390	401	9.1
18405	396	9.0
18420	398	9.0
18435	398	9.0
18450	400	9.0
18465	397	9.0
18480	398	9.0
18495	391	8.9
18510	394	8.9
18525	396	9.0
18540	396	9.0
18555	399	9.0
18570	396	9.0
18585	398	9.0
18600	400	9.0
18615	396	9.0
18630	394	8.9
18645	396	9.0
18660	396	9.0
18675	397	9.0
18690	388	8.9
18705	389	8.9
18720	394	8.9
18735	392	8.9
18750	387	8.8
18765	390	8.9
18780	390	8.9
18795	388	8.9
18810	389	8.9
18825	388	8.9
18840	386	8.8
18855	384	8.8
18870	390	8.9
18885	392	8.9
18900	393	8.9
18915	387	8.8
18930	395	9.0
18945	391	8.9
18960	391	8.9
18975	399	9.0
18990	393	8.9
19005	395	9.0
19020	398	9.0
